Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,0,
"City of Modesto , dba: Modesto Area Express",Modesto,CA,9007,90007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"358,172",72,DR, PT , 18 ,,"47,161",,"3,742",,0,,0,,0,,0,,0,,0,,,"370,053",,"20,300",,0,,0,,0,,0,,0,,,7.85,,5.42,,,,,,,,,,,,No,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,6033,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,"431,388",71,DR, PT , 9 ,,0,,"27,982",,0,,0,,0,,0,,0,,0,,,0,,"354,262",,0,,0,,0,,0,,0,,,,,12.66,,,,,,,,,,,,No,,,,
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,6017,60017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"861,505",71,SR, PT , 5 ,,0,,0,,0,,0,,0,,0,,"1,654,949",,0,,,0,,0,,0,,0,,0,,"157,362",,0,,,,,,,,,,,,,0.10,,,,No,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,6033,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,"431,388",71,VP, PT , 5 ,,0,,"3,782",,0,,0,,0,,0,,0,,0,,,0,,"106,748",,0,,0,,0,,0,,0,,,,,28.23,,,,,,,,,,,,No,,,,
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,6017,60017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"861,505",71,MB, DO , 49 ,,"440,342",,0,,0,,"318,472",,0,,0,,0,,"21,847",,,"1,994,603",,0,,0,,"1,148,972",,0,,0,,"25,612",,,4.53,,,,,,3.61,,,,,,1.17,,No,,,,
Erie Metropolitan Transit Authority,Erie,PA,3013,30013,Independent Public Agency or Authority of Transit Service,Full Reporter,"196,611",71,MB, DO , 43 ,,"165,846",,"1,066",,0,,"164,715",,0,,0,,0,,0,,,"659,301",,0,,0,,"690,086",,0,,0,,0,,,3.98,,0.00,,,,4.19,,,,,,,,No,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,6033,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,"431,388",71,MB, DO , 34 ,,"200,860",,0,,0,,"286,412",,0,,0,,0,,0,,,"700,171",,0,,0,,"1,089,700",,0,,0,,0,,,3.49,,,,,,3.80,,,,,,,,No,,,,
Erie Metropolitan Transit Authority,Erie,PA,3013,30013,Independent Public Agency or Authority of Transit Service,Full Reporter,"196,611",71,DR, DO , 28 ,,"3,089",,"119,372",,0,,0,,0,,0,,0,,0,,,"7,202",,"640,101",,0,,0,,0,,0,,0,,,2.33,,5.36,,,,,,,,,,,,No,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,6033,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,"431,388",71,DR, DO , 21 ,,0,,"100,932",,0,,0,,0,,0,,0,,0,,,0,,"754,194",,0,,0,,0,,0,,0,,,,,7.47,,,,,,,,,,,,No,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,6033,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,"431,388",71,SR, DO , 2 ,,0,,0,,0,,0,,0,,0,,"204,940",,0,,,0,,0,,0,,0,,0,,"16,318",,0,,,,,,,,,,,,,0.08,,,,No,,,,
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,6017,60017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"861,505",71,DR, DO , 17 ,,"60,206",,0,,0,,"6,413",,0,,0,,0,,0,,,"604,640",,0,,0,,"85,242",,0,,0,,0,,,10.04,,,,,,13.29,,,,,,,,No,,,,
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,6017,60017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"861,505",71,VP, PT , -   ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,6017,60017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"861,505",71,FB, PT , -   ,,"1,385",,0,,0,,0,,0,,0,,0,,0,,,"1,620",,0,,0,,0,,0,,0,,0,,,1.17,,,,,,,,,,,,,,No,,,,
Northern Indiana Commuter Transportation District,Chesterton,IN,5104,50104,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208",70,CR, DO , 70 ,,0,,0,,0,,0,,0,,0,,"17,764,250",,0,,,0,,0,,0,,0,,0,,"3,394,631",,0,,,,,,,,,,,,,0.19,,,,No,,,,
"Ride Connection, Inc.",Portland,OR,0R02-022,00376,Private-Non-Profit Corporation,Full Reporter,"1,849,898",70,MB, DO , 7 ,,0,,"33,992",,0,,0,,0,,0,,0,,0,,,0,,"215,945",,0,,0,,0,,0,,0,,,,,6.35,,,,,,,,,,,,No,,,,
Gold Coast Transit District,Oxnard,CA,9035,90035,Independent Public Agency or Authority of Transit Service,Full Reporter,"367,260",70,MB, DO , 48 ,,0,,0,,0,,"674,776",,0,,0,,0,,0,,,0,,0,,0,,"2,022,997",,0,,0,,0,,,,,,,,,3.00,,,,,,,,No,,,,
"Ride Connection, Inc.",Portland,OR,0R02-022,00376,Private-Non-Profit Corporation,Full Reporter,"1,849,898",70,DR, TX , 41 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"Westmoreland County , dba: Westmoreland County Transit Authority",Greensburg,PA,3044,30044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,733,853",70,DR, DO , 39 ,,0,,"177,901",,0,,0,,0,,0,,0,,0,,,0,,"1,464,531",,0,,0,,0,,0,,0,,,,,8.23,,,,,,,,,,,,No,,,,
"Westmoreland County , dba: Westmoreland County Transit Authority",Greensburg,PA,3044,30044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"1,733,853",70,MB, DO , 31 ,,"72,173",,0,,0,,"140,476",,0,,0,,0,,0,,,"91,715",,0,,0,,"208,954",,0,,0,,0,,,1.27,,,,,,1.49,,,,,,,,No,,,,
"Ride Connection, Inc.",Portland,OR,0R02-022,00376,Private-Non-Profit Corporation,Full Reporter,"1,849,898",70,DR, DO , 22 ,,0,,"27,734",,0,,0,,0,,0,,0,,142,,,0,,"395,612",,0,,0,,0,,0,,"3,557",,,,,14.26,,,,,,,,,,25.05,,No,,,,
Gold Coast Transit District,Oxnard,CA,9035,90035,Independent Public Agency or Authority of Transit Service,Full Reporter,"367,260",70,DR, PT , 22 ,,0,,"4,537",,0,,"58,559",,0,,0,,0,,0,,,0,,"46,901",,0,,"595,254",,0,,0,,0,,,,,10.34,,,,10.17,,,,,,,,No,,,,
DDOT - Progressive Transportation Services Administration,Washington,DC,3112,30112,State Government Unit or Department of Transportation,Full Reporter,"4,586,770",69,MB, PT , 65 ,,"356,671",,0,,0,,0,,0,,0,,0,,"1,086,991",,,"1,316,403",,0,,0,,0,,0,,0,,"198,165",,,3.69,,,,,,,,,,,,0.18,,No,,,,
Skagit Transit,Burlington,WA,0044,00044,Independent Public Agency or Authority of Transit Service,Full Reporter,"62,966",69,CB, DO , 6 ,,"51,844",,0,,0,,0,,0,,0,,0,,0,,,"366,163",,0,,0,,0,,0,,0,,0,,,7.06,,,,,,,,,,,,,,No,,,,
Central County Transportation Authority,Kalamazoo,MI,5035,50035,Independent Public Agency or Authority of Transit Service,Full Reporter,"209,703",69,DR, PT , 41 ,,"38,062",,"52,342",,0,,0,,0,,0,,0,,0,,,"335,540",,"760,424",,0,,0,,0,,0,,0,,,8.82,,14.53,,,,,,,,,,,,No,,,,
DDOT - Progressive Transportation Services Administration,Washington,DC,3112,30112,State Government Unit or Department of Transportation,Full Reporter,"4,586,770",69,SR, PT , 4 ,,0,,0,,0,,0,,0,,0,,"1,674,356",,0,,,0,,0,,0,,0,,0,,"126,905",,0,,,,,,,,,,,,,0.08,,,,No,,,,
Skagit Transit,Burlington,WA,0044,00044,Independent Public Agency or Authority of Transit Service,Full Reporter,"62,966",69,VP, DO , 30 ,,0,,"35,811",,0,,0,,0,,0,,0,,0,,,0,,"562,029",,0,,0,,0,,0,,0,,,,,15.69,,,,,,,,,,,,No,,,,
Central County Transportation Authority,Kalamazoo,MI,5035,50035,Independent Public Agency or Authority of Transit Service,Full Reporter,"209,703",69,MB, DO , 28 ,,"255,440",,0,,0,,0,,0,,0,,0,,0,,,"1,314,313",,0,,0,,0,,0,,0,,0,,,5.15,,,,,,,,,,,,,,No,,,,
Skagit Transit,Burlington,WA,0044,00044,Independent Public Agency or Authority of Transit Service,Full Reporter,"62,966",69,DR, DO , 18 ,,"1,397",,0,,"68,005",,0,,0,,0,,0,,0,,,"15,609",,0,,0,,0,,"336,265",,0,,0,,,11.17,,,,0.00,,,,,,,,,,No,,,,
Skagit Transit,Burlington,WA,0044,00044,Independent Public Agency or Authority of Transit Service,Full Reporter,"62,966",69,MB, DO , 15 ,,"157,495",,0,,0,,0,,0,,0,,0,,0,,,"955,315",,0,,0,,0,,0,,0,,0,,,6.07,,,,,,,,,,,,,,No,,,,
Valley Regional Transit,Meridian,ID,0011,00011,Independent Public Agency or Authority of Transit Service,Full Reporter,"349,684",68,MB, PT , 38 ,,"4,091",,0,,0,,"401,298",,0,,0,,0,,0,,,"33,308",,0,,0,,"1,485,358",,0,,0,,0,,,8.14,,,,,,3.70,,,,,,,,No,,,,
Valley Regional Transit,Meridian,ID,0011,00011,Independent Public Agency or Authority of Transit Service,Full Reporter,"349,684",68,DR, PT , 30 ,,43,,"7,427",,0,,"51,723",,0,,0,,0,,0,,,406,,"181,523",,0,,"834,004",,0,,0,,0,,,9.44,,24.44,,,,16.12,,,,,,,,No,,,,
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,3080,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,586,770",67,MB, PT , 42 ,,0,,0,,0,,"649,430",,0,,0,,0,,0,,,0,,0,,0,,"1,837,278",,0,,0,,0,,,,,,,,,2.83,,,,,,,,No,,,,
Lowell Regional Transit Authority,Lowell,MA,1005,10005,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019",67,MB, PT , 42 ,,"244,289",,"11,866",,0,,0,,0,,0,,0,,0,,,"1,211,099",,"60,085",,0,,0,,0,,0,,0,,,4.96,,5.06,,,,,,,,,,,,No,,,,
Lowell Regional Transit Authority,Lowell,MA,1005,10005,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019",67,DR, PT , 25 ,,0,,"49,949",,0,,0,,0,,0,,0,,0,,,0,,"392,839",,0,,0,,0,,0,,0,,,,,7.86,,,,,,,,,,,,No,,,,
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,3080,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,586,770",67,DR, TX , 13 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,3080,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,586,770",67,DR, PT , 12 ,,0,,"17,643",,0,,0,,0,,0,,0,,0,,,0,,"194,244",,0,,0,,0,,0,,0,,,,,11.01,,,,,,,,,,,,No,,,,
Chatham Area Transit Authority,Savannah,GA,4025,40025,Independent Public Agency or Authority of Transit Service,Full Reporter,"260,677",66,MB, DO , 36 ,,0,,0,,0,,0,,"432,124",,0,,0,,0,,,"2,137,493",,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Stark Area Regional Transit Authority,Canton,OH,5011,50011,Independent Public Agency or Authority of Transit Service,Full Reporter,"279,245",66,MB, DO , 36 ,,"140,448",,0,,0,,"217,528",,0,,"40,845",,0,,0,,,"695,632",,0,,0,,"1,092,895",,0,,0,,0,,,4.95,,,,,,5.02,,0.00,,,,,,No,,,,
Stark Area Regional Transit Authority,Canton,OH,5011,50011,Independent Public Agency or Authority of Transit Service,Full Reporter,"279,245",66,DR, DO , 30 ,,"72,353",,0,,0,,"112,060",,0,,0,,0,,0,,,"1,731,610",,0,,0,,"1,255,710",,0,,0,,0,,,23.93,,,,,,11.21,,,,,,,,No,,,,
Chatham Area Transit Authority,Savannah,GA,4025,40025,Independent Public Agency or Authority of Transit Service,Full Reporter,"260,677",66,DR, DO , 28 ,,0,,"141,865",,0,,0,,0,,0,,0,,0,,,0,,"1,278,979",,0,,0,,0,,0,,0,,,,,9.02,,,,,,,,,,,,No,,,,
Chatham Area Transit Authority,Savannah,GA,4025,40025,Independent Public Agency or Authority of Transit Service,Full Reporter,"260,677",66,FB, DO , 2 ,,"32,772",,0,,0,,0,,0,,0,,0,,0,,,"12,507",,0,,0,,0,,0,,0,,0,,,0.38,,,,,,,,,,,,,,No,,,,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,4051,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"347,602",65,MB, DO , 51 ,,"400,004",,0,,0,,0,,0,,0,,0,,0,,,"1,812,156",,0,,0,,0,,0,,0,,0,,,4.53,,,,,,,,,,,,,,No,,,,
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,4138,40138,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,515,419",65,DR, PT , 5 ,,0,,"42,103",,0,,0,,0,,0,,0,,0,,,0,,"256,349",,0,,0,,0,,0,,0,,,,,6.09,,,,,,,,,,,,No,,,,
Brazos Transit District,Bryan,TX,6059,60059,Independent Public Agency or Authority of Transit Service,Full Reporter,"171,345",65,DR, DO , 48 ,,0,,"196,515",,0,,0,,0,,0,,0,,0,,,0,,"1,604,554",,0,,0,,0,,0,,0,,,,,8.17,,,,,,,,,,,,No,,,,
"City of Wichita , dba: Wichita Transit",Wichita,KS,7015,70015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"472,870",65,MB, DO , 43 ,,"263,506",,0,,0,,0,,0,,0,,0,,"372,717",,,"1,384,076",,0,,0,,0,,0,,0,,"166,113",,,5.25,,,,,,,,,,,,0.45,,No,,,,
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,4138,40138,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,515,419",65,MB, PT , 33 ,,"359,325",,0,,0,,0,,0,,0,,0,,0,,,"1,899,068",,0,,0,,0,,0,,0,,0,,,5.29,,,,,,,,,,,,,,No,,,,
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,4138,40138,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"4,515,419",65,CB, PT , 27 ,,"205,622",,0,,0,,0,,0,,0,,0,,0,,,"1,191,426",,0,,0,,0,,0,,0,,0,,,5.79,,,,,,,,,,,,,,No,,,,
"City of Wichita , dba: Wichita Transit",Wichita,KS,7015,70015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"472,870",65,DR, DO , 22 ,,0,,"106,910",,0,,0,,0,,0,,0,,0,,,0,,"814,124",,0,,0,,0,,0,,0,,,,,7.62,,,,,,,,,,,,No,,,,
Brazos Transit District,Bryan,TX,6059,60059,Independent Public Agency or Authority of Transit Service,Full Reporter,"171,345",65,MB, DO , 17 ,,"98,578",,"96,571",,0,,0,,0,,0,,0,,0,,,"541,031",,"264,163",,0,,0,,0,,0,,0,,,5.49,,2.74,,,,,,,,,,,,No,,,,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,4051,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"347,602",65,DR, DO , 14 ,,0,,"53,267",,0,,0,,0,,0,,0,,0,,,0,,"301,586",,0,,0,,0,,0,,0,,,,,5.66,,,,,,,,,,,,No,,,,
Duluth Transit Authority,Duluth,MN,5025,50025,Independent Public Agency or Authority of Transit Service,Full Reporter,"120,378",64,DR, DO , 7 ,,0,,"28,996",,0,,0,,0,,0,,0,,0,,,0,,"223,801",,0,,0,,0,,0,,0,,,,,7.72,,,,,,,,,,,,No,,,,
Duluth Transit Authority,Duluth,MN,5025,50025,Independent Public Agency or Authority of Transit Service,Full Reporter,"120,378",64,MB, DO , 57 ,,0,,0,,0,,0,,"392,249",,0,,0,,"364,720",,,"1,998,628",,0,,0,,0,,0,,0,,"82,635",,,,,,,,,,,,,,,0.23,,No,,,,
"Hudson Transit Lines, Inc.",Mahwah,NJ,2126,20126,Private-For-Profit Corporation,Full Reporter,"18,351,295",63,CB, DO , 63 ,,"645,607",,0,,0,,0,,0,,0,,0,,0,,,"3,835,035",,0,,0,,0,,0,,0,,0,,,5.94,,,,,,,,,,,,,,No,,,,
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",Springfield,IL,5059,50059,Independent Public Agency or Authority of Transit Service,Full Reporter,"161,316",63,MB, DO , 48 ,,0,,"1,919",,0,,"204,504",,"223,138",,0,,0,,0,,,"1,051,343",,"11,660",,0,,"706,771",,0,,0,,0,,,,,6.08,,,,3.46,,,,,,,,No,,,,
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,1128,10128,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"194,535",63,MB, PT , 36 ,,"288,561",,0,,0,,0,,0,,0,,0,,0,,,"1,414,086",,0,,0,,0,,0,,0,,0,,,4.90,,,,,,,,,,,,,,No,,,,
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,4012,40012,Independent Public Agency or Authority of Transit Service,Full Reporter,"391,024",63,DR, DO , 32 ,,0,,"164,928",,0,,0,,0,,0,,0,,0,,,0,,"1,109,922",,0,,0,,0,,0,,0,,,,,6.73,,,,,,,,,,,,No,,,,
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,4012,40012,Independent Public Agency or Authority of Transit Service,Full Reporter,"391,024",63,MB, DO , 31 ,,"430,338",,"5,094",,0,,0,,0,,0,,0,,0,,,"1,961,000",,"22,584",,0,,0,,0,,0,,0,,,4.56,,4.43,,,,,,,,,,,,No,,,,
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,1128,10128,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"194,535",63,DR, PT , 27 ,,0,,"73,349",,0,,0,,0,,0,,0,,0,,,0,,"513,370",,0,,0,,0,,0,,0,,,,,7.00,,,,,,,,,,,,No,,,,
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",Springfield,IL,5059,50059,Independent Public Agency or Authority of Transit Service,Full Reporter,"161,316",63,DR, DO , 15 ,,0,,"69,416",,0,,0,,0,,0,,0,,0,,,0,,"408,584",,0,,0,,0,,0,,0,,,,,5.89,,,,,,,,,,,,No,,,,
Greater Lafayette Public Transportation Corporation,Lafayette,IN,5051,50051,Independent Public Agency or Authority of Transit Service,Full Reporter,"147,725",62,DR, DO , 6 ,,0,,0,,0,,"19,875",,0,,0,,0,,0,,,0,,0,,0,,"160,713",,0,,0,,0,,,,,,,,,8.09,,,,,,,,No,,,,
Greater Lafayette Public Transportation Corporation,Lafayette,IN,5051,50051,Independent Public Agency or Authority of Transit Service,Full Reporter,"147,725",62,MB, DO , 56 ,,"108,391",,0,,0,,"357,506",,0,,0,,0,,0,,,"391,080",,0,,0,,"1,396,256",,0,,0,,0,,,3.61,,,,,,3.91,,,,,,,,No,,,,
Luzerne County Transportation Authority,Kingston,PA,3015,30015,Independent Public Agency or Authority of Transit Service,Full Reporter,"381,502",62,MB, DO , 32 ,,"191,593",,0,,0,,"91,265",,0,,0,,0,,0,,,"498,522",,0,,0,,"391,446",,0,,0,,0,,,2.60,,,,,,4.29,,,,,,,,No,,,,
Luzerne County Transportation Authority,Kingston,PA,3015,30015,Independent Public Agency or Authority of Transit Service,Full Reporter,"381,502",62,DR, DO , 30 ,,0,,"107,838",,0,,0,,0,,0,,0,,0,,,0,,"649,247",,0,,0,,0,,0,,0,,,,,6.02,,,,,,,,,,,,No,,,,
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,2209,20209,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",61,DR, DO , 51 ,,"1,722",,"81,964",,0,,0,,0,,0,,0,,0,,,"11,153",,"592,910",,0,,0,,0,,0,,0,,,6.48,,7.23,,,,,,,,,,,,No,,,,
"City of Appleton, dba: Valley Transit",Appleton,WI,5001,50001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"216,154",61,DR, PT , 39 ,,"4,490",,"130,508",,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,0.00,,,,,,,,,,,,No,,,,
Merrimack Valley Regional Transit Authority,Haverhill,MA,1013,10013,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019",61,MB, PT , 39 ,,"349,730",,0,,0,,0,,0,,0,,0,,0,,,"1,869,481",,0,,0,,0,,0,,0,,0,,,5.35,,,,,,,,,,,,,,No,,,,
Merrimack Valley Regional Transit Authority,Haverhill,MA,1013,10013,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019",61,DR, PT , 22 ,,0,,"84,786",,0,,0,,0,,0,,0,,0,,,0,,"572,599",,0,,0,,0,,0,,0,,,,,6.75,,,,,,,,,,,,No,,,,
"City of Appleton, dba: Valley Transit",Appleton,WI,5001,50001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"216,154",61,MB, DO , 21 ,,"153,082",,"4,544",,0,,0,,0,,0,,0,,0,,,"881,465",,"34,458",,0,,0,,0,,0,,0,,,5.76,,7.58,,,,,,,,,,,,No,,,,
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,2209,20209,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"18,351,295",61,MB, DO , 10 ,,"15,971",,"24,182",,0,,0,,0,,0,,0,,0,,,"123,488",,"159,938",,0,,0,,0,,0,,0,,,7.73,,6.61,,,,,,,,,,,,No,,,,
"City of Appleton, dba: Valley Transit",Appleton,WI,5001,50001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"216,154",61,MB, PT , 1 ,,819,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,,,,,,,,,,,,,No,,,,
Merrimack Valley Regional Transit Authority,Haverhill,MA,1013,10013,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019",61,CB, PT , -   ,,770,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,0.00,,,,,,,,,,,,,,No,,,,
Hill Country Transit District,San Saba,TX,6091,60091,Independent Public Agency or Authority of Transit Service,Full Reporter,"217,630",60,MB, DO , 9 ,,"103,361",,218,,0,,0,,0,,0,,0,,0,,,"468,490",,0,,0,,0,,0,,0,,0,,,4.53,,0.00,,,,,,,,,,,,No,,,,
Norwalk Transit District,Norwalk,CT,1057,10057,Independent Public Agency or Authority of Transit Service,Full Reporter,"923,311",60,DR, PT , 8 ,,0,,"7,853",,0,,0,,0,,0,,0,,0,,,0,,"67,589",,0,,0,,0,,0,,0,,,,,8.61,,,,,,,,,,,,No,,,,
Port Authority Transit Corporation,Camden,NJ,2075,20075,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567",60,HR, DO , 60 ,,0,,0,,0,,0,,0,,0,,"32,674,494",,0,,,0,,0,,0,,0,,0,,"4,603,306",,0,,,,,,,,,,,,,0.14,,,,No,,,,
Hill Country Transit District,San Saba,TX,6091,60091,Independent Public Agency or Authority of Transit Service,Full Reporter,"217,630",60,DR, DO , 51 ,,"26,645",,"130,504",,0,,0,,0,,0,,0,,0,,,"299,014",,"877,255",,0,,0,,0,,0,,0,,,11.22,,6.72,,,,,,,,,,,,No,,,,
Capital Area Transit System,Baton Rouge,LA,6022,60022,Independent Public Agency or Authority of Transit Service,Full Reporter,"594,309",60,MB, DO , 44 ,,"633,741",,0,,0,,0,,0,,0,,0,,"302,800",,,"3,018,927",,0,,0,,0,,0,,0,,"121,932",,,4.76,,,,,,,,,,,,0.40,,No,,,,
Norwalk Transit District,Norwalk,CT,1057,10057,Independent Public Agency or Authority of Transit Service,Full Reporter,"923,311",60,MB, DO , 27 ,,"189,811",,"56,360",,0,,0,,0,,0,,0,,0,,,"734,021",,0,,0,,0,,0,,0,,0,,,3.87,,0.00,,,,,,,,,,,,No,,,,
Norwalk Transit District,Norwalk,CT,1057,10057,Independent Public Agency or Authority of Transit Service,Full Reporter,"923,311",60,DR, DO , 25 ,,"14,811",,"41,320",,0,,0,,0,,0,,0,,0,,,"158,206",,"471,776",,0,,0,,0,,0,,0,,,10.68,,11.42,,,,,,,,,,,,No,,,,
Capital Area Transit System,Baton Rouge,LA,6022,60022,Independent Public Agency or Authority of Transit Service,Full Reporter,"594,309",60,DR, PT , 16 ,,0,,"86,393",,0,,0,,0,,0,,0,,0,,,0,,"568,468",,0,,0,,0,,0,,0,,,,,6.58,,,,,,,,,,,,No,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,5057,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,"280,051",59,DR, DO , 7 ,,0,,"23,323",,0,,0,,0,,0,,0,,0,,,0,,"177,619",,0,,0,,0,,0,,0,,,,,7.62,,,,,,,,,,,,No,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,5057,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,"280,051",59,MB, DO , 46 ,,"48,991",,0,,0,,"511,687",,0,,0,,0,,"247,455",,,"228,749",,0,,0,,"1,912,730",,0,,0,,"117,828",,,4.67,,,,,,3.74,,,,,,0.48,,No,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,5057,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,"280,051",59,FB, PT , 3 ,,"9,644",,0,,0,,0,,0,,0,,0,,0,,,"14,659",,0,,0,,0,,0,,0,,0,,,1.52,,,,,,,,,,,,,,No,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,5057,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,"280,051",59,DR, PT , 3 ,,0,,"9,872",,0,,0,,0,,0,,0,,0,,,0,,"106,552",,0,,0,,0,,0,,0,,,,,10.79,,,,,,,,,,,,No,,,,
